,post_id,ticker,dividendo,yeld,media_yield_3m,soma_yield_3m,media_yield_6m,soma_yield_6m,media_yield_12m,soma_yield_12m,variacao_cotacao_mes,rentabilidade,rentabilidade_mes,cotacao_fechamento,soma_yield_ano_corrente,ano,vpa_yield,vpa,vpa_change,pl,vpa_rent,vpa_rent_m,yield_vpa_3m_sum,yield_vpa_3m,yield_vpa_6m_sum,yield_vpa_6m,yield_vpa_12m_sum,yield_vpa_12m,setor,setor_slug,valor,liquidezmediadiaria,patrimonio,pvp,p_vpa,post_title,ativos,volatility,numero_cotista,tx_gestao,tx_admin,tx_performance
176,346,HGLG11,1.1,0.65,0.6667,2.0,0.6767,4.06,0.6975,8.37,2.8622,7.4427,3.5308,169.99,2.0,2024.0,0.6971,157.8,2.4476,5331568244.15,19.5964,3.1617,2.088,0.696,4.2425,0.7071,8.8121,0.7343,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,169.2,7316405.43,5331568244.15,1.0664,1.072243346007604,HGLG11,25,8.798926229588,461633,,,
177,306,HGPO11,1.5,0.51,0.5167,1.55,0.5283,3.17,0.565,6.78,-0.5161,7.4789,-0.0088,292.98,1.55,2024.0,0.486,308.67,3.1065,541116903.89,23.4569,3.6076,1.4582,0.4861,2.9631,0.4938,6.1721,0.5143,Lajes Corporativas,lajes-corporativas,303.87,933531.03,541116903.89,0.9986,0.9844494119933911,HGPO11,2,16.808133184357,20222,,,
178,225,HGRE11,0.78,0.6,0.6933,2.08,0.6483,3.89,0.6592,7.91,-2.263,2.2823,-1.6766,130.43,2.08,2024.0,0.5095,153.1,-2.4157,1809252331.43,-1.6132,-1.9185,2.0751,0.6917,3.5871,0.5978,6.9876,0.5823,Lajes Corporativas,lajes-corporativas,130.48,1850920.85,1809252331.43,0.8432,0.8522534291312861,HGRE11,17,20.889233781341,151644,,,
179,71,HGRS11,29.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2024.0,0.0,92.8601,0.0,110907626.73,0.0,0.0,,,,,,,Imóveis Residenciais,imoveis-residenciais,0.0,,58983088.31,0.0,,HGRS11,2,,6,,,
180,298,HGRU11,0.85,0.62,0.9567,2.87,0.795,4.77,0.7683,9.22,-2.0338,4.6535,-1.4264,136.8,2.87,2024.0,0.6698,126.91,3.2712,2335963870.48,18.1841,3.9629,4.2943,1.4314,6.3595,1.0599,10.9296,0.9108,Misto,misto,136.15,3265496.13,2335963870.48,1.0754,1.07280750137893,HGRU11,69,14.254513281551,204313,,,
181,2789,HILG11,0.4243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2024.0,,,,,,,,,,,,,Indefinido,indefinido,0.0,,98437639.66,0.0,,HILG11,1,,50,,,
182,254,HLOG11,0.46,0.56,0.6267,1.88,0.6733,4.04,0.7,8.4,-0.2927,-6.8888,0.2657,81.76,1.88,2024.0,0.3944,116.64,0.146,495727246.16,11.4676,0.5409,1.5075,0.5025,3.2013,0.5335,6.5812,0.5484,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,85.99,108413.63,495727246.16,0.7352,0.7372256515775031,HLOG11,5,16.158024210682,4233,,,
183,1852,HOFC11,0.25,1.34,0.8033,2.41,0.7067,4.24,0.8092,9.71,-7.0149,-5.7689,-5.7689,18.69,1.34,2024.0,,,,,,,,,,,,,Lajes Corporativas,lajes-corporativas,30.24,224530.13,263345832.17,0.4057,,HOFC11,4,34.325030864775,6588,,,
184,129,HOSI11,0.6207,0.69,1.08,3.24,0.92,5.52,1.01,12.12,-2.9074,12.761,-2.2374,89.5,3.24,2024.0,1.2255,92.01,-0.0543,52764990.44,7.0277,1.1705,3.8425,1.2808,5.654,0.9423,10.0523,0.8377,Imóveis Residenciais,imoveis-residenciais,89.0,41966.45,52764990.44,0.9771,0.9672861645473311,HOSI11,0,40.450879166537,1550,,,
185,385,HPDP11,0.53,0.61,0.6033,1.81,0.51,3.06,0.6417,7.7,-1.0342,3.0757,-0.4305,87.08,1.81,2024.0,0.5547,95.55,7.0468,314176927.98,7.3974,7.6406,1.6633,0.5544,3.4506,0.5751,7.3223,0.6102,Shoppings,shoppings,89.48,503295.36,314176927.98,0.9215,0.9364730507587651,HPDP11,1,41.44340349845,443,,,
186,172,HRDF11,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,Fundo de Desenvolvimento,fundo-de-desenvolvimento,3.79,2256.93,12124093.87,0.4493,,HRDF11,0,385.71588361783,1141,,,
187,341,HREC11,0.08,0.91,0.9233,2.77,0.965,5.79,1.0233,12.28,-0.3405,7.831,0.5664,8.78,2.77,2024.0,0.8667,9.23,-89.6152,476202043.31,-88.4699,-89.5252,2.6986,0.8995,5.4892,0.9149,11.2269,0.9356,Papéis,papeis,8.79,277246.78,476202043.31,0.9437,0.952329360780064,HREC11,0,14.385786677248,2732,,,
188,262,HSAF11,0.9,1.03,0.95,2.85,0.93,5.58,1.0408,12.49,-1.7063,6.1128,-0.6939,87.56,2.85,2024.0,0.9233,92.06,0.7883,232578983.59,10.9644,1.7189,2.5414,0.8471,5.0535,0.8423,11.3213,0.9434,Papéis,papeis,90.59,906999.85,232578983.59,0.9735,0.984032152943732,HSAF11,0,14.387848208349,11095,,,
189,125,HSLG11,0.74,0.77,0.76,2.28,0.7783,4.67,0.8025,9.63,-1.3879,8.686,-0.6286,96.63,2.28,2024.0,0.7168,103.24,-1.62,1306981868.48,0.4643,-0.9148,2.1479,0.716,4.2855,0.7142,8.4771,0.7064,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,99.0,605656.85,1306981868.48,0.9578,0.958930647036032,HSLG11,5,15.992149372981,35774,,,
190,371,HSML11,0.8,0.83,0.8033,2.41,0.8,4.8,0.815,9.78,0.2689,6.1979,1.1012,96.94,2.41,2024.0,0.7873,96.53,-1.076,1970991018.67,4.9189,-0.2972,2.3965,0.7988,4.7462,0.791,9.4034,0.7836,Shoppings,shoppings,97.85,5521153.6,1970991018.67,1.0171,1.013674505335128,HSML11,7,10.112228287795,184187,,,
191,269,HSRE11,0.6,0.56,0.5667,1.7,0.4667,2.8,0.4325,5.19,0.9624,2.418,1.5278,107.0,1.7,2024.0,0.6403,93.71,-2.4261,833897228.42,4.4403,-1.8013,1.9219,0.6406,3.8466,0.6411,7.7685,0.6474,Misto,misto,106.9,1764486.74,833897228.42,1.1408,1.1407533881122611,HSRE11,27,25.038805941173,278,,,
192,448,HTMX11,2.6,1.68,1.2767,3.83,1.705,10.23,1.5417,18.5,-8.9751,-9.4119,-7.4459,154.36,3.83,2024.0,0.586,147.2,4.8807,221438224.77,22.0732,5.4953,4.8954,1.6318,12.7121,2.1187,20.0065,1.6672,Hotéis,hoteis,179.75,1719965.28,221438224.77,1.2123,1.221127717391304,HTMX11,22,37.97250236679,34047,,,
193,80,HUCG11,0.22,0.2,0.1333,0.4,0.1383,0.83,0.2458,2.95,8.0,8.216,8.216,108.0,0.2,2024.0,,,,,,,,,,,,,Hospitalar,hospitalar,108.68,453063.97,116571687.43,1.046,,HUCG11,2,80.913291856445,242,,,
194,156,HUSC11,0.85,0.75,0.4967,1.49,0.6533,3.92,0.7492,8.99,-1.5617,-0.8234,-0.8234,113.46,1.49,2024.0,0.5485,154.98,5.6082,130797616.61,14.8783,6.1874,1.7709,0.5903,3.7103,0.6184,7.3396,0.6116,Hospitalar,hospitalar,113.51,4438.22,130797616.61,0.7356,0.7324170860756221,HUSC11,2,44.540181821949,795,,,
195,392,HUSI11,8.0219,0.67,0.6733,2.02,0.3367,2.02,0.225,2.7,-0.4167,0.9022,0.2505,1195.0,2.02,2024.0,0.653,1187.2,19.54,138145163.39,26.5582,20.3206,2.0598,0.6866,4.3208,0.7201,8.6151,0.7179,Hospitalar,hospitalar,1195.0,6162.82,138145163.39,0.8625,1.006570080862533,HUSI11,0,240.38538932569,89,,,
196,2567,IAAG11,0.11,1.22,1.1033,3.31,0.9917,5.95,1.0371,7.26,-1.7467,-4.1117,-0.548,9.0,3.31,2024.0,1.1387,9.66,0.0,52611314.7,0.0,0.0,2.7924,0.9308,5.4916,0.9153,6.8407,0.9772,Indefinido,indefinido,8.85,38525.75,52611314.7,0.912,0.916149068322981,IAAG11,,11.21985208914,2045,,,
197,478,IAGR11,0.035,0.74,0.805,1.61,0.805,1.61,0.805,1.61,-8.8803,-8.206,-8.206,4.72,1.61,2024.0,0.5376,8.37,0.0,23321226.97,0.0,0.0,1.5397,0.7699,1.5397,0.7699,1.5397,0.7699,Indefinido,indefinido,4.15,43843.63,23321226.97,0.4528,0.49581839904420505,IAGR11,,38.844982219578,3763,,,
198,208,IBCR11,0.9,1.1,1.1767,3.53,1.215,7.29,1.2008,14.41,-0.1463,8.8479,0.9521,81.9,3.53,2024.0,1.0435,95.83,2.0336,91844324.75,11.8169,3.0984,3.1222,1.0407,6.2507,1.0418,12.0298,1.0025,Papéis,papeis,78.91,195323.55,91844324.75,0.8241,0.8234373369508501,IBCR11,0,15.522794796854,4091,,,
